id	topic	subtopic	type	difficulty	marks	family	scenario	prompt	answer_outline	tags	source	exam_trap
Q00001	Architectural Patterns	Layer	Scenario application	Hard	6	Past Paper Q1	University Student Portal	"University Student Portal: The development team frequently changes the Student Portal user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Layer** (Module Pattern).
- Architectural problem: separate implementation responsibilities so concerns can evolve relatively independently.
- Mechanism: groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
- Map the source-grounded elements (Layer) and relation/connector (allowed-to-use relation) to the concrete Student Portal.
- Likely enhanced quality: Modifiability. Likely trade-off: Performance.
Full credit requires scenario-specific reasoning, not only the pattern name."	Layer, University Student Portal, pattern-selection	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00002	Architectural Patterns	Layer	Elements and relations	Hard	4	Past Paper Q3	University Student Portal	"For the University Student Portal, assume the architect has chosen Layer to address this requirement: The development team frequently changes the Student Portal user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **University Student Portal**: the user-interface code is the presentation layer, the scenario's application/business rules are the domain or service layer, and persistence/database adapters are the data-access layer. A user action calls downward through allowed-to-use relations from presentation to application logic and then to data access; results return upward without persistence code depending on the UI. Constraint: each software unit belongs to exactly one layer, with dependencies following the permitted layer ordering.	Layer, elements, relations, University Student Portal	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00003	Architectural Patterns	Layer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	University Student Portal	"In the University Student Portal, Layer is used as described: The development team frequently changes the Student Portal user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Modifiability** because groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
Threatened: **Performance** because extra layers add indirection, up-front structure and possible performance penalties.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Layer, tradeoff, Modifiability, Performance, University Student Portal	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00004	Architectural Patterns	Layer	Constraint / failure reasoning	Very Hard	5	Extended	University Student Portal	"An architect claims that once Layer is selected for the University Student Portal, its expected quality benefits are guaranteed. Critique the claim using this requirement: The development team frequently changes the Student Portal user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **each software unit belongs to exactly one layer** and the weakness **extra layers add indirection, up-front structure and possible performance penalties**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Layer, edge-case, critical-thinking, University Student Portal	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00005	Architectural Patterns	Layer vs Multi-Tier	Compare and distinguish	Brutal	6	Extended	University Student Portal	"A team designing the University Student Portal is split between **Layer** and **Multi-Tier** for the following requirement:
The development team frequently changes the Student Portal user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Layer** for the stated requirement because its core problem is: separate implementation responsibilities so concerns can evolve relatively independently. Layer centers on Layer and allowed-to-use relation; **Multi-Tier** instead addresses: separate runtime components into logical tiers with constrained communication and potentially map them onto different computing platforms. The alternative becomes preferable if the requirement shifts toward: runtime components are grouped into tiers and deployed/scaled/securitized separately.	Layer, Multi-Tier, comparison, University Student Portal	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf; Lecture4_ArchitecturalPatterns_13_AllocationPatterns_Multi-Tier.pdf	
Q00006	Architectural Patterns	Layer	Scenario application	Hard	6	Past Paper Q1	Online Trading Platform	"Online Trading Platform: The development team frequently changes the Trading Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Layer** (Module Pattern).
- Architectural problem: separate implementation responsibilities so concerns can evolve relatively independently.
- Mechanism: groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
- Map the source-grounded elements (Layer) and relation/connector (allowed-to-use relation) to the concrete Trading Platform.
- Likely enhanced quality: Modifiability. Likely trade-off: Performance.
Full credit requires scenario-specific reasoning, not only the pattern name."	Layer, Online Trading Platform, pattern-selection	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
Q00007	Architectural Patterns	Layer	Elements and relations	Hard	4	Past Paper Q3	Online Trading Platform	"For the Online Trading Platform, assume the architect has chosen Layer to address this requirement: The development team frequently changes the Trading Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Describe the pattern elements and connectors/relations in this concrete scenario. Do not give only generic definitions."	Concrete mapping for **Online Trading Platform**: the user-interface code is the presentation layer, the scenario's application/business rules are the domain or service layer, and persistence/database adapters are the data-access layer. A user action calls downward through allowed-to-use relations from presentation to application logic and then to data access; results return upward without persistence code depending on the UI. Constraint: each software unit belongs to exactly one layer, with dependencies following the permitted layer ordering.	Layer, elements, relations, Online Trading Platform	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00008	Architectural Patterns	Layer	Quality trade-off	Very Hard	4	Past Paper Q1/Q3	Online Trading Platform	"In the Online Trading Platform, Layer is used as described: The development team frequently changes the Trading Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Explain one quality attribute that the pattern may enhance and a different quality attribute that may be threatened. For each, explain the mechanism rather than merely naming the quality."	"Enhanced: **Modifiability** because groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
Threatened: **Performance** because extra layers add indirection, up-front structure and possible performance penalties.
Qualify the claim ('may/can') and tie each effect to an element, connector, constraint or deployment decision."	Layer, tradeoff, Modifiability, Performance, Online Trading Platform	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00009	Architectural Patterns	Layer	Constraint / failure reasoning	Very Hard	5	Extended	Online Trading Platform	"An architect claims that once Layer is selected for the Online Trading Platform, its expected quality benefits are guaranteed. Critique the claim using this requirement: The development team frequently changes the Trading Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Use at least one source-grounded constraint or weakness and give a concrete failure/edge case."	Reject the guarantee. Patterns are reusable design decisions, not quality guarantees. Use a constraint such as **each software unit belongs to exactly one layer** and the weakness **extra layers add indirection, up-front structure and possible performance penalties**. Construct an edge case where the intended mechanism is missing, overloaded or becomes a single dependency and show why the desired end-to-end quality is not achieved.	Layer, edge-case, critical-thinking, Online Trading Platform	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	
Q00010	Architectural Patterns	Layer vs Multi-Tier	Compare and distinguish	Brutal	6	Extended	Online Trading Platform	"A team designing the Online Trading Platform is split between **Layer** and **Multi-Tier** for the following requirement:
The development team frequently changes the Trading Platform user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Compare the two at the architectural level. Decide which better matches the requirement, explain the decisive distinction, and identify one circumstance that could make the alternative preferable."	Prefer **Layer** for the stated requirement because its core problem is: separate implementation responsibilities so concerns can evolve relatively independently. Layer centers on Layer and allowed-to-use relation; **Multi-Tier** instead addresses: separate runtime components into logical tiers with constrained communication and potentially map them onto different computing platforms. The alternative becomes preferable if the requirement shifts toward: runtime components are grouped into tiers and deployed/scaled/securitized separately.	Layer, Multi-Tier, comparison, Online Trading Platform	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf; Lecture4_ArchitecturalPatterns_13_AllocationPatterns_Multi-Tier.pdf	
Q00011	Architectural Patterns	Layer	Scenario application	Hard	6	Past Paper Q1	Electricity Utility App	"Electricity Utility App: The development team frequently changes the Utility Application user interface and business rules. Changes to presentation should not force changes to persistence code, and data-access technology should be replaceable with minimal ripple effects.

Select the most suitable architectural pattern and justify it in scenario-specific terms. Your justification must identify the architectural problem, the relevant elements/relations, and one quality attribute consequence."	"Best fit: **Layer** (Module Pattern).
- Architectural problem: separate implementation responsibilities so concerns can evolve relatively independently.
- Mechanism: groups semantically coherent responsibilities behind public interfaces and restricts dependencies between layers.
- Map the source-grounded elements (Layer) and relation/connector (allowed-to-use relation) to the concrete Utility Application.
- Likely enhanced quality: Modifiability. Likely trade-off: Performance.
Full credit requires scenario-specific reasoning, not only the pattern name."	Layer, Electricity Utility App, pattern-selection	Lecture4_ArchitecturalPatterns_2_ModulePatterns_Layer Pattern.pdf	Naming a familiar pattern without explaining why its mechanism solves this exact requirement.
